Mastercard,\b(5[1-5]\d{2}|222[1-9]|22[3-9]\d|2[3-6]\d{2}|27[01]\d|2720)\d{12}\b
Maestro5,\b(50|5[6-8])\d{14}\b
Maestro60_61,\b(((600[0-9]|6010)\d{2})|(60(111\d|11[56]\d|117[0-3]|117[56]|118[0-5]|(1[2-8]\d{2}|19[0-8]\d|199\d|[2-9]\d{3})))|(61\d{4}))\d{10}\b
Maestro62,\b(62([01]\d{3}|20\d{2}|21[01]\d|212[0-5]|292[6-9]|29[3-9]\d|3\d{3}|7\d{3}|80\d{2}|81[0-8]\d|819\d|89[0-8]\d|899\d|9\d{3}))\d{10}\b
Maestro63_66,\b((63([0-4]\d{3}|5[0-8]\d{2}|59[0-8]\d|599\d))|(64[0-3]\d{3})|(6[6-9]\d{4}))\d{10}\b
Visa,\b(4\d{15})\b
Amex,\b(3[47])\d{13}\b
JCB,\b(352[89]|35[3-8]\d)\d{12}\b
Discover,\b(6011(0[0-3]|0[5-9]|[2-4]\d|74|7[7-9]|8[6-9]|9\d)|64[4-8]\d{3}|649\d{3}|650[0-5]\d{2}|65(06[01][1-9]|06[2-9]\d|0[7-9]\d{2}|[1-9]\d{3}))\d{10}\b
Diners,\b(30[0-5]\d|3095|36\d{2}|3[89]\d{2})\d{10}\b
China Union Pay,\b(62(212[6-9]|21[3-9]\d|2[2-8]\d{2}|29[01]\d|292[0-5]|[4-6]\d{3}|8[2-8]\d{2}))\d{10}\b
UATP,\b1\d{14}\b
Paypal,\b(601104|650600|650610)\d{10}\b
Interpayment,\b(636)\d{13}\b
Instapayment,\b(63[7-9])\d{13}\b
